Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Gender_M,Reached.on.Time_Y.N
4,1,164,4,2,3,5318,0,0,0,1,0,1,1,1
3,3,249,5,2,9,1752,1,0,0,0,0,1,0,0
2,2,163,3,1,5,5887,0,0,0,0,1,0,1,0
3,5,241,10,2,41,3015,0,0,0,1,0,1,1,1
4,3,248,6,2,5,4212,0,0,0,0,0,1,1,0
5,1,185,3,2,7,4855,0,0,1,0,0,1,0,1
6,2,195,3,2,30,3462,0,0,0,0,0,1,1,1
3,4,210,3,1,10,4398,1,0,0,0,0,1,1,1
4,2,251,6,1,3,1297,1,0,0,0,1,0,0,0
5,4,201,3,1,5,5137,0,0,0,1,0,1,0,0
5,2,252,5,1,10,1568,0,0,0,1,0,0,0,0
6,1,306,4,1,4,1449,0,0,0,1,0,1,0,1
5,2,266,5,2,8,1367,0,0,0,1,1,0,1,0
2,4,238,3,2,4,5782,1,0,0,0,0,1,1,1
5,1,212,3,1,11,2073,0,0,0,1,0,1,0,1
6,1,303,4,1,9,1080,0,0,1,0,0,1,0,0
3,2,214,2,1,26,3503,0,0,0,0,0,1,1,1
3,5,190,10,2,26,3244,0,0,1,0,0,1,1,1
4,1,271,2,1,1,4866,0,0,0,1,0,1,0,0
5,5,171,3,2,6,4209,0,1,0,0,0,0,0,1
3,3,240,7,2,3,4385,1,0,0,0,0,1,1,0
5,5,223,3,2,3,4382,0,0,0,1,0,1,0,0
5,2,236,2,1,24,3679,0,0,1,0,1,0,1,1
4,5,135,2,1,60,1026,0,0,1,0,0,1,1,1
3,5,275,3,1,6,5148,0,0,0,1,0,1,1,0
3,1,131,4,1,1,1628,1,0,0,0,0,1,1,0
5,3,230,3,2,3,2923,1,0,0,0,0,1,0,1
3,3,259,2,3,8,4481,0,0,0,1,1,0,1,0
5,2,202,3,2,34,3885,0,0,0,1,1,0,1,1
6,4,241,6,3,61,2806,0,0,1,0,0,1,0,1
2,2,240,5,1,7,4138,0,0,1,0,0,1,1,1
4,5,145,3,2,45,1059,0,0,0,1,0,1,1,1
4,2,231,5,1,2,1465,0,0,0,0,0,1,0,1
3,5,286,6,3,8,4777,0,0,1,0,0,1,1,0
4,2,227,5,2,6,4618,0,0,1,0,0,1,1,0
3,1,230,2,1,1,4970,1,0,0,0,0,1,0,1
6,4,254,4,1,9,1594,1,0,0,0,0,1,1,0
5,5,265,3,3,3,5837,1,0,0,0,1,0,0,1
5,1,105,5,1,1,1101,0,1,0,0,1,0,1,1
4,2,210,2,2,1,5437,0,0,0,1,0,1,0,1
3,2,201,3,3,6,5165,0,0,1,0,0,1,1,1
3,4,187,2,2,4,5139,0,0,0,0,0,1,1,1
3,3,179,3,2,41,1892,0,0,0,0,0,1,0,1
6,4,257,4,1,4,1451,0,0,0,1,0,1,0,0
3,1,192,2,1,33,2818,0,0,0,1,0,1,1,1
4,4,206,3,2,10,4262,0,0,0,1,0,1,0,0
3,5,257,3,2,19,2173,1,0,0,0,0,1,0,1
3,3,274,3,1,6,2986,0,0,0,0,0,1,1,1
3,5,125,2,1,2,4182,0,0,0,1,0,0,0,1
4,2,251,3,1,10,3517,0,0,0,0,0,1,0,1
6,5,264,4,2,9,1922,0,1,0,0,0,1,0,1
4,1,216,4,1,4,2263,1,0,0,0,0,1,1,1
4,3,178,3,2,6,4576,0,0,0,0,0,1,1,0
3,5,159,2,2,6,5804,0,0,0,0,0,1,1,0
4,4,129,6,2,7,4873,0,0,0,0,0,1,0,1
3,2,153,10,3,2,5455,1,0,0,0,0,0,1,0
6,3,256,4,1,9,1212,0,0,0,1,0,1,0,1
4,5,199,2,1,8,4463,0,0,0,1,0,1,0,0
4,5,222,2,2,2,4425,0,0,0,1,0,1,1,0
6,4,292,4,1,3,1826,0,0,0,1,1,0,1,1
3,5,271,4,1,10,1679,0,0,0,0,0,1,0,1
6,3,141,3,1,7,5222,0,1,0,0,0,1,1,1
3,5,181,4,3,1,4971,0,1,0,0,0,1,0,1
6,2,134,8,3,42,1054,0,1,0,0,1,0,1,1
4,1,233,2,2,60,2671,1,0,0,0,0,1,0,1
4,2,210,3,1,8,5672,0,1,0,0,0,1,1,1
5,4,256,5,1,2,1723,0,0,0,1,0,1,1,1
6,5,280,3,1,9,4074,1,0,0,0,0,1,1,1
7,4,270,4,2,5,1735,0,0,0,1,0,0,0,0
4,3,224,3,2,9,5283,0,0,1,0,0,1,0,1
4,2,168,3,1,59,1717,1,0,0,0,1,0,1,1
3,2,233,5,1,44,2010,0,0,0,1,0,1,1,1
5,5,253,2,2,2,4364,0,0,0,1,0,1,0,0
5,5,216,4,2,1,4092,0,0,0,1,0,1,0,1
5,5,248,5,2,1,1945,0,0,0,1,0,1,0,1
4,3,258,3,2,58,2579,1,0,0,0,0,0,1,1
3,4,193,6,1,2,5584,0,1,0,0,0,1,1,0
7,3,306,4,2,4,1739,0,0,0,1,0,0,1,1
3,5,249,2,1,26,2029,0,0,0,0,0,1,0,1
7,2,279,4,2,5,1210,0,0,1,0,0,1,1,0
5,3,163,6,1,6,4349,1,0,0,0,0,1,1,0
3,1,201,2,2,4,4857,0,0,0,0,1,0,0,1
5,5,239,6,1,1,1984,0,0,0,0,1,0,0,0
3,3,253,3,2,7,5085,0,0,0,1,1,0,1,0
5,4,239,3,1,7,4960,1,0,0,0,0,1,0,0
3,1,142,4,1,4,1583,0,1,0,0,0,1,1,1
4,4,238,3,1,7,4709,0,1,0,0,0,1,0,0
5,2,246,5,1,4,1072,0,0,0,0,0,1,0,1
5,4,235,4,1,10,4880,0,1,0,0,0,1,1,0
6,4,309,4,1,9,1771,1,0,0,0,0,1,1,1
4,5,157,2,2,6,5937,0,0,0,0,0,1,1,0
3,2,159,2,2,3,4876,0,0,0,1,0,1,0,0
3,5,169,3,1,6,5397,0,0,0,1,0,1,0,0
3,4,184,3,1,7,5438,0,1,0,0,0,1,1,0
4,2,224,3,1,9,4896,0,0,0,1,0,1,0,0
5,2,248,2,1,10,4813,0,0,0,0,0,0,0,0
3,2,210,2,2,30,3928,0,1,0,0,0,1,1,1
4,5,180,4,3,10,5176,0,0,0,0,1,0,0,1
3,5,258,3,1,5,4494,0,0,0,0,0,1,0,0
4,5,234,3,2,10,4204,1,0,0,0,0,0,0,1
3,4,145,3,2,44,1218,0,0,0,1,0,1,1,1
3,4,166,3,2,8,4369,0,1,0,0,0,1,0,1
3,1,157,2,2,39,1525,0,0,0,1,0,1,0,1
4,2,260,2,1,7,5684,0,1,0,0,0,1,1,0
3,5,115,3,2,60,1122,0,0,1,0,0,1,1,1
4,4,223,5,2,4,1344,1,0,0,0,0,0,1,0
5,5,251,2,3,3,4741,0,0,0,1,0,1,0,1
4,4,235,4,1,50,2020,0,0,1,0,1,0,1,1
6,4,292,4,1,10,1321,0,0,0,1,0,0,0,1
4,2,141,2,1,8,1495,0,0,1,0,0,1,0,1
5,2,262,5,1,4,1509,0,0,0,1,0,1,1,1
2,2,240,3,1,53,2980,0,0,0,1,0,1,1,1
6,3,306,4,1,5,1490,0,1,0,0,0,0,0,1
5,4,257,2,2,10,5095,0,0,1,0,0,1,1,0
4,4,234,2,2,8,5744,0,1,0,0,0,1,0,0
4,2,270,3,2,4,5566,0,0,0,1,0,0,0,0
5,4,189,2,1,4,5575,0,0,1,0,1,0,0,1
2,1,156,3,2,3,5937,0,1,0,0,0,0,1,0
5,3,114,6,2,60,1746,0,0,1,0,0,1,0,1
4,4,209,8,2,46,3345,1,0,0,0,0,1,0,1
2,2,159,6,1,6,4044,0,0,1,0,1,0,0,0
4,2,180,4,2,9,4329,0,0,0,1,0,0,1,0
4,2,242,3,2,8,4644,0,1,0,0,0,1,1,1
4,5,225,4,1,48,2767,0,0,0,1,1,0,1,1
6,4,304,4,1,6,1342,0,0,0,1,0,1,1,0
4,2,210,3,1,9,4102,0,0,0,1,0,1,0,1
4,5,252,2,1,9,4157,0,0,0,0,0,1,0,0
4,3,258,2,1,3,4555,0,0,0,0,0,1,0,0
4,5,165,3,3,5,4735,0,1,0,0,0,1,1,0
7,1,296,4,1,10,1230,1,0,0,0,1,0,0,1
5,1,169,4,1,6,4253,0,0,0,0,0,1,1,1
2,1,226,2,2,1,5576,0,0,0,1,0,0,0,0
4,3,159,2,3,3,5731,1,0,0,0,1,0,1,1
5,1,248,3,2,6,5081,0,0,1,0,0,1,1,1
4,4,208,2,3,20,2759,1,0,0,0,1,0,0,1
3,2,140,2,1,16,1685,0,0,0,1,0,1,0,1
3,2,224,3,1,7,5896,0,0,0,1,0,1,0,0
4,2,186,7,2,40,3111,0,0,0,1,0,1,0,1
3,3,224,4,2,10,4147,0,0,0,0,0,1,1,0
4,1,140,3,2,1,1464,0,0,0,1,0,1,0,1
4,2,237,6,1,8,5695,0,0,0,0,0,0,0,0
4,1,264,3,1,39,3719,0,0,1,0,0,1,0,1
3,1,275,2,3,1,2597,0,0,0,1,0,1,0,1
3,5,188,3,3,9,3206,0,1,0,0,1,0,0,1
6,4,272,4,1,7,1706,0,0,0,0,0,1,0,1
4,2,139,4,1,41,1511,0,0,0,1,0,0,0,1
4,1,182,3,2,28,2005,0,0,0,1,1,0,1,1
3,3,249,4,1,7,5868,1,0,0,0,0,1,1,1
3,2,140,3,2,8,5724,1,0,0,0,0,0,1,0
4,5,246,2,2,31,2415,0,0,0,1,1,0,1,1
4,5,157,3,2,10,5898,0,1,0,0,0,0,1,1
4,1,150,3,1,10,4470,0,0,0,0,0,0,0,0
4,5,173,2,2,5,4776,0,0,0,1,0,0,0,1
6,1,250,5,1,53,3352,1,0,0,0,0,1,0,1
2,4,273,4,1,7,4743,0,0,0,0,1,0,0,1
5,5,128,5,1,34,1008,0,1,0,0,1,0,1,1
4,2,182,3,2,14,3413,0,0,0,1,0,0,1,1
6,2,268,4,1,7,1943,0,0,1,0,0,0,1,0
3,4,150,2,1,6,5987,0,1,0,0,0,0,0,0
3,3,147,4,1,60,1722,0,0,0,1,1,0,0,1
3,3,270,3,3,7,4690,0,0,0,1,0,1,0,1
4,2,249,6,1,9,1673,0,0,0,0,0,0,0,1
6,1,215,4,1,1,4581,0,1,0,0,0,0,1,1
4,1,172,3,3,24,1066,0,0,0,0,0,1,0,1
4,4,184,3,1,4,1330,0,0,1,0,0,1,1,1
4,1,195,3,1,2,4418,0,1,0,0,1,0,1,0
3,1,202,2,2,62,3398,0,0,0,1,0,1,1,1
5,2,136,2,1,3,1370,0,0,0,1,0,1,1,0
3,5,241,4,1,3,5051,1,0,0,0,0,1,0,0
3,1,271,3,2,1,5486,0,0,1,0,0,1,1,1
4,2,233,4,3,6,5256,0,0,1,0,0,1,0,0
3,5,218,4,2,60,3048,0,0,0,1,0,0,1,1
3,5,137,3,3,28,1815,0,0,0,1,0,1,0,1
4,2,243,3,2,13,2850,0,1,0,0,0,1,0,1
5,3,275,5,1,7,1349,0,0,0,1,0,1,1,0
5,1,172,2,3,7,5165,0,0,0,1,0,1,0,0
3,3,215,2,1,2,5661,1,0,0,0,0,0,0,0
4,2,222,2,2,5,4268,1,0,0,0,0,0,1,0
4,1,258,4,1,5,5664,0,1,0,0,0,1,1,0
3,4,188,4,1,2,1059,0,1,0,0,1,0,1,1
3,5,216,4,1,3,4934,0,0,0,0,0,1,0,0
6,4,262,4,1,10,1068,0,1,0,0,0,0,0,1
3,5,220,3,1,9,5672,0,0,1,0,0,1,0,1
4,2,221,3,1,7,4856,0,0,1,0,1,0,0,0
3,2,216,2,1,1,4350,1,0,0,0,1,0,0,1
5,2,128,5,2,45,1707,0,0,0,1,0,0,0,1
2,4,206,2,1,30,3955,0,1,0,0,0,1,0,1
5,4,137,2,1,2,4077,0,0,0,1,0,1,0,1
3,4,143,3,1,10,5261,0,0,0,1,0,0,1,0
4,2,181,3,2,4,5717,0,0,0,1,0,1,1,0
3,2,188,3,2,8,5709,1,0,0,0,1,0,1,0
3,5,233,3,2,7,5787,0,0,0,1,0,1,0,0
4,2,257,2,3,3,4108,0,0,0,1,0,0,1,1
2,3,277,3,2,1,1738,0,0,0,1,0,1,0,0
4,1,255,5,1,9,1793,0,0,0,1,0,1,0,1
5,3,218,6,1,6,1519,0,0,0,1,0,0,0,1
4,3,260,3,2,4,5770,0,0,0,1,0,1,0,1
4,5,201,2,3,2,4657,0,0,0,1,0,1,0,0
5,1,258,5,1,4,1032,0,0,0,1,0,1,0,0
3,4,235,3,1,52,3447,0,0,0,1,0,1,1,1
4,1,219,3,1,5,5632,1,0,0,0,0,1,0,0
3,5,247,3,2,10,4286,0,0,0,0,0,1,1,1
3,1,180,6,1,5,4802,0,0,0,1,1,0,1,1
6,1,279,4,1,4,1263,0,1,0,0,0,0,0,1
6,1,251,4,1,2,5656,0,0,0,1,0,1,1,0
3,1,180,7,2,10,5536,1,0,0,0,0,1,1,0
4,2,229,4,1,8,5385,0,0,0,1,0,1,1,0
4,4,266,3,1,6,5758,0,0,0,1,1,0,0,1
5,2,244,6,1,1,1199,0,0,0,1,1,0,1,0
5,4,201,2,1,5,5593,1,0,0,0,1,0,1,1
3,2,245,3,1,61,2188,0,0,1,0,1,0,0,1
3,1,175,3,2,1,4872,0,0,1,0,0,1,1,0
5,5,124,3,1,10,4331,0,0,0,1,0,1,1,0
4,4,209,6,1,62,3532,0,0,1,0,0,1,1,1
4,3,204,3,2,2,5010,1,0,0,0,0,0,1,0
3,4,226,3,1,7,4411,0,0,0,1,0,1,0,1
5,4,199,5,2,6,5210,0,0,0,0,0,1,1,1
4,4,187,3,3,6,4567,0,0,1,0,0,1,1,0
4,1,241,4,2,5,5080,0,0,0,0,0,1,1,0
5,5,139,4,2,3,4433,0,0,0,1,0,1,0,1
3,2,133,3,2,1,5026,0,0,0,0,0,1,1,1
4,4,170,2,1,34,1512,1,0,0,0,0,1,1,1
4,1,166,3,3,3,1453,0,1,0,0,0,1,0,1
3,4,257,4,1,9,4537,0,0,0,1,0,1,1,0
4,2,195,3,2,8,5198,0,0,0,1,0,1,1,0
3,4,165,3,3,10,4910,0,0,0,0,0,1,1,0
7,3,270,4,2,10,1211,0,0,1,0,0,1,0,0
6,3,285,7,2,7,5030,1,0,0,0,0,0,1,1
3,2,137,2,2,17,1673,0,1,0,0,0,0,1,1
3,5,119,3,2,7,1021,0,0,0,1,0,1,1,1
4,5,243,3,1,2,4909,0,0,0,0,0,1,0,0
3,4,226,3,2,26,2299,1,0,0,0,0,1,0,1
4,4,267,5,2,9,1716,0,0,0,1,0,1,0,1
4,5,261,10,1,7,5208,0,0,0,1,0,1,1,0
7,1,308,4,2,2,1504,0,0,0,1,0,1,0,0
4,5,170,3,1,9,1138,0,0,0,1,0,1,0,1
3,2,140,3,1,42,1465,0,0,0,1,1,0,0,1
5,2,258,2,2,4,5965,0,0,0,0,0,1,0,0
2,2,182,3,3,6,4112,0,0,1,0,0,1,1,1
4,5,157,4,2,12,1038,0,0,0,1,0,0,0,1
5,4,199,4,2,2,4902,0,0,0,0,0,1,1,1
4,5,171,2,2,1,4439,0,1,0,0,0,0,0,0
4,3,229,6,2,1,1235,1,0,0,0,0,1,1,1
4,2,182,3,2,7,4710,0,0,0,1,0,1,1,1
2,5,134,10,3,8,5472,0,0,0,1,0,0,1,0
4,3,137,3,2,5,4854,0,0,1,0,0,1,1,1
4,2,236,3,1,4,4800,0,0,0,1,0,1,1,0
5,5,238,5,1,2,1657,0,0,0,1,0,0,1,0
5,4,216,3,2,2,5404,0,0,0,0,0,1,0,1
5,1,135,3,1,10,5301,0,0,1,0,0,1,0,1
3,4,202,4,3,20,3655,0,1,0,0,0,0,1,1
4,4,153,3,1,13,1402,1,0,0,0,0,1,1,1
3,5,195,2,1,4,4864,1,0,0,0,1,0,0,0
4,2,162,6,1,4,4094,0,0,0,1,1,0,0,0
7,5,291,4,3,6,1135,1,0,0,0,1,0,1,0
4,2,195,5,2,9,5178,1,0,0,0,0,1,1,1
5,1,129,5,2,35,1458,1,0,0,0,0,1,1,1
3,3,150,2,2,6,4170,1,0,0,0,0,1,1,1
6,4,304,4,1,7,1226,0,1,0,0,0,1,1,1
4,4,165,5,1,21,1727,0,0,0,1,0,1,1,1
6,4,290,4,2,10,1366,0,0,0,0,0,1,1,0
4,4,275,3,1,10,5674,1,0,0,0,0,1,1,1
4,1,143,2,2,5,4057,0,0,0,0,0,1,0,0
3,3,161,2,2,38,1521,0,0,0,0,0,1,0,1
3,4,206,3,2,5,5915,1,0,0,0,1,0,0,0
6,2,278,4,3,8,1967,0,0,0,1,1,0,0,0
5,5,214,3,1,31,2033,0,0,0,1,0,1,0,1
3,2,201,3,2,7,4890,0,1,0,0,0,1,1,0
3,4,137,3,2,17,1212,0,0,0,0,0,1,0,1
2,3,157,4,1,3,1203,0,0,0,1,0,1,1,1
4,4,186,7,2,9,5418,0,0,0,1,0,1,1,0
5,3,184,4,2,2,3798,1,0,0,0,0,1,0,1
4,1,162,6,1,1,5525,0,1,0,0,0,1,1,1
2,4,255,7,1,10,5875,1,0,0,0,0,1,1,0
3,2,217,2,3,19,2992,0,0,0,1,1,0,1,1
4,3,140,3,1,1,4453,0,0,0,1,0,1,1,0
4,5,159,2,1,3,5704,0,0,0,1,1,0,0,0
5,2,196,3,2,44,2085,0,0,0,0,1,0,1,1
2,5,160,3,1,19,1399,0,0,0,1,1,0,0,1
4,2,264,3,1,10,5137,0,0,0,0,0,1,1,1
5,3,257,5,1,8,1409,1,0,0,0,0,1,0,0
4,3,182,3,3,3,5624,0,0,0,1,0,0,0,0
4,3,255,2,3,47,2956,0,0,0,1,0,1,1,1
3,4,191,2,2,8,5667,0,0,1,0,0,1,1,1
6,3,265,5,2,10,1897,1,0,0,0,0,1,1,0
6,2,265,3,1,3,1904,0,0,0,0,0,1,1,1
4,5,133,3,1,53,1467,0,1,0,0,0,1,0,1
6,3,166,3,1,2,5559,0,0,0,1,0,1,0,0
4,5,181,3,2,1,5310,0,0,1,0,1,0,1,0
4,5,268,2,1,2,4721,0,0,0,1,0,1,1,1
3,1,268,4,1,10,5226,0,1,0,0,0,1,1,1
3,5,156,4,1,5,4661,0,0,1,0,0,1,1,1
3,5,260,3,2,7,5379,0,0,0,0,0,0,1,1
4,5,149,2,1,2,5724,0,0,1,0,0,1,1,1
5,2,265,4,1,7,4883,0,1,0,0,0,0,0,0
5,2,235,2,1,10,4938,0,0,0,1,0,1,0,0
5,1,216,10,2,2,5672,0,0,0,1,0,1,0,0
5,5,271,4,3,10,4305,0,0,0,0,0,1,1,1
4,3,201,2,2,18,3461,0,0,0,0,0,1,0,1
4,5,157,3,2,28,1557,1,0,0,0,0,0,1,1
7,1,278,4,1,10,1508,0,0,1,0,0,1,1,1
3,4,236,3,2,5,5466,0,0,0,1,0,1,0,0
5,3,241,5,1,2,1834,0,0,0,0,0,0,0,1
4,4,148,3,1,4,5716,0,0,1,0,0,0,1,1
5,5,213,2,3,12,2522,0,1,0,0,0,1,1,1
5,4,208,2,1,9,4569,0,1,0,0,0,1,1,0
3,2,173,3,3,40,1723,0,0,0,0,0,1,1,1
4,4,177,2,1,6,5116,0,0,0,1,0,1,0,0
6,4,279,4,1,1,1621,0,0,0,0,0,1,0,0
5,1,186,10,1,64,2529,0,0,0,1,0,1,1,1
4,2,198,2,1,60,3368,0,0,0,1,0,1,1,1
4,5,266,3,2,8,4889,0,0,0,1,1,0,1,0
5,1,201,3,2,65,2488,0,0,0,0,0,1,0,1
2,3,257,2,1,1,5331,0,1,0,0,0,1,0,1
5,2,172,3,2,65,1667,0,0,0,1,0,1,1,1
3,2,198,2,2,8,5889,0,0,1,0,0,1,1,0
4,5,134,3,2,3,5000,0,0,0,1,0,0,1,1
3,2,167,4,2,49,1973,0,0,0,1,0,1,1,1
5,4,227,2,1,9,5706,1,0,0,0,0,0,0,1
4,4,273,2,1,1,5759,0,0,1,0,0,1,1,1
